zeit,symbol,mint,grund,alter_h,mcap,liq,holder,holder_1h_pct,netto_kaeufer_5m,preis_usd
2026-09-26 02:46:04,GEOM,6dX5M8DY6VTFtVRX5yzWn9RE4MkJTyoAVbAodk6cpump,STORY_ZU_ALT,1281.09,3520154,114503,1676,-1.1,0,0.00352454149994
2026-09-26 02:46:04,GRAMS,G1jonmoSEbMJSwEg1AmgDAJq2utmuBSZct8oqttBf9rT,STORY_ZU_ALT,345.03,294802,31793,912,0.1,4,0.000294804421157
2026-09-26 02:46:04,KUROMI,3BzHwZCLoaKMK3co1PDCAgFfeLKexTVJb2dWFX18BmKs,STORY_ZU_ALT,322.86,40781,10112,290,27.8,0,4.07817611031e-05
2026-09-26 02:46:04,PHISH,FaWBF7djnFysJVHptwUAHLN7ZqM1BUis3QMnbsM1pump,STORY_ZU_ALT,6.03,39690,8210,609,-2.6,11,4.07662470408e-05
2026-09-26 02:46:04,WEN,WENAZ2WyPbmgvUcKfQ8hyMDfBQP9bZ65hsZ5KTFrRGZ,STORY_ZU_ALT,363.24,154352,51110,3619,-0.0,0,6.55699964947
2026-09-26 02:46:04,0xquit,J141JCiXKGcrhDCgWUTCL9qz7h943iCibNiLNfqZpump,STORY_ZU_ALT,16.19,94300,14141,1252,-0.8,3,9.75262015968e-05
2026-09-26 02:46:04,MADE,EpXtn6xGoZ4Y45vRjiDUHSCGbBoJD5FaEqZbF98YswH1,STORY_ZU_ALT,889.79,1164801,89049,3758,-0.2,0,0.00118843975412
2026-09-26 02:46:04,SATOSHINU,HzaCANKGkhNcQGb1VWL8f4tHJYrCmaXrPWk9eHR7GYYX,STORY_ZU_ALT,100.77,536650,40629,1346,0.4,1,0.000547381296687
2026-09-26 02:46:04,Jotchua,BcHEaaTCvycPwwsJ9yQTXdHP9X2gCLkznDbZ8VySpump,STORY_ZU_ALT,2662.39,1848245,122989,13486,-0.0,1,0.00184855342915
2026-09-26 02:46:04,COLOSSEUM,ChGkEmqxUuggy9NG9X3PEnv1q2bHFNgFhZmxJUowQtco,STORY_ZU_ALT,194.82,25995,6629,947,2.9,12,2.62337618346e-05
2026-09-26 02:47:17,PIGGYBANK,G4PZQ4tTMjeNQfrSyMUMXN919NTeKA8hXUEzjRmr9btr,STORY_ZU_ALT,137.52,429937,32390,599,-1.0,13,0.000429937510342
