token_address,pair_address,symbol,entry_time,entry_price_usd,peak_price_usd,sol_invested,amount_tokens,status,exit_time,exit_price_usd,pnl_usd,pnl_sol,exit_reason
9dZeCrbXKb7ahfMm4PG3bmGdRAZj7wUfKK1FeN2aSWKu,AdvdxJPXqc7Em9yUKA1pQkqKUE7AHKAo68KgvucnEQaZ,HER,2026-09-10 05:19:07,7.458e-05,7.458e-05,0.25,341143.7382676321,CLOSED,2026-09-10 05:19:40,4.863e-05,-8.85,-0.087,SL_HIT (-34.8%)
4bdFdHLCDPkkhKwS5cjtZRnsKHaPdYwMskk64AZUpump,8bmo9ZbchZtuBJYKyy6aJCp8Xq2doTySi2RzUdJRDNSb,KIRKVERSE,2026-09-10 05:26:02,0.0002323,0.0002491,0.25,109524.32199741712,CLOSED,2026-09-10 05:41:05,0.0002172,-1.65,-0.0163,TIME_EXPIRED (-6.5%)
Aex5WCVNC3A5gUcwJNcsaZDJmTNi1YcYetedjZHwNFmu,4KA4yQhYMQWdJ1serS7M3qGw2CWSSKt433iaggKHgZN4,BITCAT,2026-09-10 05:39:59,3.859e-05,4.591e-05,0.25,659302.928219746,CLOSED,2026-09-10 05:41:05,3.613e-05,-1.62,-0.0159,BREAK_EVEN (-6.4%)
9LAcK5XfutibvzXAqNMjVCL5FRuSTv2TVNxnLK5QExUt,FFasJsUs3NsWkvidNmMB4oiz98f5VeeU7dmmuWkkmt88,🧲,2026-09-10 05:41:26,0.0008354,0.00107,0.25,30455.47043332535,CLOSED,2026-09-10 05:51:29,0.001,5.01,0.0493,TIME_PROFIT_TAKE (+19.7%)
FTwhPMU5j3y3JWwQ56ZFswX11xTncvJDswSRk4zxpump,GUDDkBKZTsJXwRccYbUpJtwhQijbnqZRYTUiDePbjpZ1,AAPL,2026-09-10 05:59:02,0.0002278,0.0002696,0.25,111687.88410886742,CLOSED,2026-09-10 06:01:55,2.018e-06,-25.22,-0.2478,BREAK_EVEN (-99.1%)
9HVo6HNYDkb9yyLJS8eCQ7tst94ZRrG9dGB2xtorpump,FqSnJoYE5fUPvNpBZ769yiMwhwnLjHH9izERQ8rxjV4L,MEAT,2026-09-10 06:18:33,4.214e-05,4.214e-05,0.25,603761.2719506407,CLOSED,2026-09-10 06:19:34,3.088e-05,-6.8,-0.0668,SL_HIT (-26.7%)
AwdTBWtcizdLWkbSrbqa71BBpeL1mu5ekjpv77B6pump,7Bc6Rq8mp26Tf9H3rpFeqeeHkRfsCqic7f1Mj8esATLQ,BEANIE,2026-09-10 06:23:06,4.594e-05,5.597e-05,0.25,553820.2002612103,CLOSED,2026-09-10 06:25:26,4.536e-05,-0.32,-0.0032,BREAK_EVEN (-1.3%)
7HjUj6sghEh964xp1cxf7uUovSsSsuQVdt9jheH3ruqb,GcdDjqU4QLxywh6HGwvfDYj1NDsvyAegyNg4UJavVmG2,MARVIN,2026-09-10 06:31:39,4.726e-05,4.726e-05,0.25,538351.6716038934,CLOSED,2026-09-10 06:31:48,3.567e-05,-6.24,-0.0613,SL_HIT (-24.5%)
73WiPrR9Ucv1LpwZhcbVG6fsskzSsXLhpLi9sZa7pump,FtKVtbz9LYUjBrV1s96sWTFgt57i4fTCKwptMTcfcpLQ,CATON,2026-09-10 06:47:05,0.0001839,0.0002658,0.25,138349.64654703642,CLOSED,2026-09-10 06:49:12,0.0002264,5.88,0.0578,TRAILING_SL (23.1%)
A7CTX3onEBhsPuJfPf3GAS1sy92pmfdw1jiQrGScpump,AMcDRZqmpvMKwVxJzVXMn8SUAQyCPiP49ZsufBLd6MiN,PUMPSTONK,2026-09-10 06:55:06,0.0001947,0.0002173,0.25,130675.3980482794,CLOSED,2026-09-10 07:01:23,0.0001631,-4.13,-0.0406,SL_HIT (-16.2%)
8badxf1pXs9XNFyNnxHF82wLXBUzFEffhNqqrvUBJ1Eb,7DUkohRtjfjcvq5waM1Wb1sRP61ae3TPsymEJRZd4h6Q,MEOW,2026-09-10 07:15:10,5.545e-05,6.165e-05,0.25,458836.7899008115,CLOSED,2026-09-10 07:19:29,3.892e-05,-7.58,-0.0745,SL_HIT (-29.8%)
wMdfe6BvamMjEnJGyX4sttshd3ww95sMddyTFweaimh,38r2hNC57o83WbEZGdN58gzcrK48fE7hHLncYBXoKHUJ,FLY,2026-09-10 07:25:41,4.767e-05,4.963e-05,0.25,533721.4180826516,CLOSED,2026-09-10 07:26:23,3.589e-05,-6.29,-0.0618,SL_HIT (-24.7%)
Dr2ZmfRkUtGdYeVdms1pF8KuCdtzKtc23G85R7nopump,BNzffbprgGWjQ7ayLVqeHMZ415x6em94HwVXRD13e9UX,GARAGE,2026-09-10 07:30:35,4.266e-05,5.351e-05,0.25,596401.7815283638,CLOSED,2026-09-10 07:33:36,4.244e-05,-0.13,-0.0013,BREAK_EVEN (-0.5%)
5spXeT1nAYWpYXFcn2vZegvkbQectvF226bxFaatpump,8bdAHj8Nq4rAsMzdgwEnEbNeNW4WJbRpiwR3ufxqfUgs,CEREBRA,2026-09-10 07:35:57,4.177e-05,4.177e-05,0.25,609109.408666507,CLOSED,2026-09-10 07:37:24,3.439e-05,-4.5,-0.0442,SL_HIT (-17.7%)
7sJzVEmkuSwgvDCxbmeCcjQ99CDDSjeq34BstCj8hiAd,2FDwWfwFG5fi3tx9Xv63rrnhnQ1bLJmbkm6XgwZxkrfk,BALL,2026-09-10 07:42:06,6.303e-05,6.752e-05,0.25,403656.9887355228,CLOSED,2026-09-10 07:43:37,3.552e-05,-11.1,-0.1091,SL_HIT (-43.6%)
