timestamp,symbol,token_address,pair_address,dex,age_hours,gain_24h_pct,mcap_usd,liquidity_usd,vol_24h_usd,first_hour_max_gain_pct,deepest_dip_pct,top10_holder_pct,jup_price_impact_pct,rugcheck_score
2026-09-16 15:40:59,feg,58NKqgGPUgEPNq5ergdiiUBw9rGPcnX37wUTLYe2nKut,FA8KKkhiyVKBvofjWpfHQqbPFtvSymCPVwBzFY8YMxry,PUMPSWAP,25.9,140.0,131018.0,29793.12,423289.39,8.7,-15.2,21.3,-1.0,1
2026-09-16 20:33:10,ELON,GY9mZfyPpxXxBXBxS2hB2XjhP3kfUsywTvgveozxpump,6tuhHpYSinf41V39KW3JmpVUaxehcabCbHZqqFnwR6xf,PUMPSWAP,25.1,5044.0,1956286.0,155457.77,15266553.52,6.8,-51.2,17.9,-1.0,1
2026-09-16 20:33:10,ELON,GY9mZfyPpxXxBXBxS2hB2XjhP3kfUsywTvgveozxpump,FrZsBHxt8bbBivLeLyRcGhtTJpy6XbLKHYHRecLS5SUg,METEORA,24.4,3679.0,2003183.0,14007.11,368003.14,41.2,-36.4,17.9,-1.0,1
2026-09-16 20:33:10,lockinu,7GPGqsfVK1gG88GuVEetrsVyDiikABTsj9B9aHEHpump,F8sLh2baV3McR7VQorzdpcMzVAvE3sJovEeESe3oVGMH,PUMPSWAP,8.4,1201.0,508155.0,66704.66,4151218.13,129.0,-56.3,0.0,-1.0,10001
2026-09-16 20:33:10,PAIDLON,AowPHdsFTZNTa7JDGFUCRpyGa4niTS9GBG26CNWtpump,6m5D4TwmRKyAJrUYmHTRGgjunneaqFifUuczA17Wy6op,PUMPSWAP,5.7,1014.0,823940.0,78735.51,1741511.71,668.3,-88.5,0.0,-1.0,10001
2026-09-16 20:33:10,PAID,98kfF7rmsg1QDUEoCqNE7g7M1FdrTt92TEp2CLzypump,6xf7dn56P55zJEL9CoMDiDLqqTo7zF1dScEPqNZm92PF,METEORA,25.1,940.0,9426960.0,124883.02,1703195.81,0.0,0.0,14.2,-1.0,1
2026-09-17 02:07:04,KEVIN,GZik7vJSnDAao9tbbcLrMGKfxLu7VCjoAtkDhsv8A3iE,GiGnJziraB1L5iYQbqtowL13TUrTXw5UgDYaWHWCJayg,PUMPSWAP,0.8,1172.0,516310.0,65049.6,3126575.16,354.9,-78.7,0.0,-1.0,10001
2026-09-17 02:07:04,lockinu,7GPGqsfVK1gG88GuVEetrsVyDiikABTsj9B9aHEHpump,F8sLh2baV3McR7VQorzdpcMzVAvE3sJovEeESe3oVGMH,PUMPSWAP,14.0,944.0,407800.0,61011.62,4701635.75,65.9,-68.0,0.0,-1.0,10001
2026-09-17 02:07:04,PAIDDOGE,52qkNpgTHcjuDYhKVcg6rJS4uYYtJHpDRcJoSdKqpump,Bs7Ad8EhZb4NjfcsnewodG2yULXrvdNpLU4wgKJJ2sqj,PUMPSWAP,7.7,547.0,807572.0,80293.51,2821898.9,18.8,-37.0,0.0,-1.0,10001
2026-09-17 02:07:04,ONLYX,2GrwXsCxRP5SBqKczB8QDdK88iAfxRJ2cST93fXcpump,G3MaLFFqNh9z9P731uftzHEMYNN2CKMNseSyaTgEEBTN,PUMPSWAP,1.3,474.0,363839.0,52768.65,1416988.2,178.0,-74.5,0.0,-1.0,10001
